價 錢 還 行 用 着 不 錯 自 提 的 MM 好 漂 亮 服 務 態 度 好 機 器 沒 問 題,positive
2 房 間 惡 差 我 住 的 房 間 補 補 貼 中 國 八 十 年 代 的 建 築 我 不 介 意 可 你 用 白 漆 塗 塗 吧 我 房 間 牆 是 二 個 顏 色 頂 是 三 個 顏 色 當 然 不 是 配 色 而 是 補 補 貼 貼 的 東 西,negative
房 間 和 走 廊 裏 味 道 很 重 樓 外 下 面 馬 路 上 的 聲 音 很 吵 早 上 隔 壁 的 電 視 機 的 聲 音 聽 的 很 清 楚 可 以 當 鬧 鐘 使 用 但 時 間 是 隔 壁 定 的 沒 有 給 鬧 鐘 定 時 結 帳 的 時 候 發 票 沒 有 給 我 蓋 章 總 的 感 覺 是 讓 人 失 望 今 後 不 會 再 住 了,negative
補 充 點 評 2007 年 11 月 23 日 不 好 意 思 評 錯 酒 店 了 正 確 的 應 該 是 房 間 很 大 很 好 缺 點 是 地 點 比 較 偏,positive
交 通 很 便 利 從 酒 店 步 行 5 分 鐘 就 到 了 最 繁 華 的 開 封 的 小 吃 一 條 街,positive
優 點 我 不 說 了 說 說 發 現 的 問 題 1 即 使 硬 件 是 DDR 3 由 於 CPU 總 線 只 有 800 所 以 內 存 降 頻 至 800 使 用 2 請 教 各 位 了 調 節 集 成 顯 卡 顯 存 的 選 項 在 哪 裏,positive
交 通 不 方 便 沒 什 麼 車 隔 音 很 差 雖 然 是 新 開 的 但 是 同 價 位 還 是 選 擇 漢 庭 和 莫 泰 吧 房 間 感 覺 就 像 是 紙 糊 的 浴 室 太 差 了,negative
總 之 下 回 不 會 在 選 擇 了 還 不 如 花 少 錢 住 三 亞 灣 的 小 型 度 假 村 或 花 同 樣 的 錢 住 環 境 好 的 亞 龍 灣,negative
掛 的 是 三 星 的 牌 牌 但 室 內 用 具 環 境 及 性 價 比 還 是 差 太 多 現 在 可 能 是 哈 市 的 旅 遊 旺 季 因 爲 是 冰 雪 的 季 節 嗎 房 間 內 有 股 汗 味 讓 人 實 在 受 不 了,negative
電 池 時 間 有 點 短 們 也 就 兩 小 時 不 到 面 板 易 髒 前 幾 天 我 裝 了 個 酷 狗 音 樂 沒 把 酷 狗 的 什 麼 快 捷 鍵 關 掉 結 果 運 行 的 時 候 不 小 心 按 了 個 右 鍵 導 致 死 機 了,negative
不 是 鏡 面 屏 風 扇 從 開 機 就 沒 停 聲 音 比 較 大 稍 微 重 了 點,negative
散 熱 很 好 風 扇 吹 出 來 的 風 始 終 涼 涼 的,positive
如 果 題 目 改 成 高 盛 歷 史 更 爲 貼 切 文 本 內 容 因 爲 我 按 照 這 個 題 目 一 直 想 找 出 高 盛 究 竟 是 用 什 麼 技 巧 用 什 麼 深 遠 戰 略 贏 得 了 先 今 的 主 導 權 而 本 文 只 是 在 最 後 篇 幅 蜻 蜓 點 水 般 一 帶 而 過 沒 有 預 期 效 果 但 本 書 描 述 了 美 國 投 資 業 及 高 盛 的 發 展 歷 史 和 其 不 同 的 輝 煌 落 敗 還 是 值 得 一 讀 的 只 是 想 勸 誡 當 今 文 壇 作 者 起 書 名 時 一 定 要 對 得 起 觀 衆 而 不 能 用 名 字 先 把 人 給 吸 引 過 來 名 字 要 先 入 爲 主 但 內 容 更 應 名 副 其 實,positive
許 多 年 前 同 事 爲 養 育 孩 子 就 看 了 這 本 書 多 少 瞭 解 這 本 書 的 一 些 觀 點 這 次 爲 了 養 育 自 己 的 孩 子 買 來 細 細 讀 了 感 覺 還 是 很 有 收 穫 一 個 成 功 的 教 育 個 案 往 往 比 一 些 空 洞 的 教 育 理 論 對 家 長 來 說 更 有 意 義 書 中 的 教 育 觀 點 落 於 實 處 非 常 具 體 很 有 參 考 價 值 基 本 上 同 意 老 卡 爾 威 特 的 教 育 理 念 除 了 個 別 的 一 些 觀 念 一 些 具 體 的 應 對 方 式 和 教 育 方 法 對 於 家 長 來 說 值 得 借 鑑 推 薦 一 下,positive
硬 盤 到 手 就 發 現 一 個 壞 塊 因 爲 是 完 美 屏 沒 回 京 東 換 新 花 了 兩 天 在 本 地 換 新 硬 盤 發 票 都 不 需 要 電 池 銜 接 很 鬆 可 有 1 mm 間 隙 出 廠 時 A B 面 貼 的 保 護 膜 太 敷 衍 太 多 氣 泡 雖 然 反 正 要 撕 掉 但 說 明 廠 家 態 度 不 嚴 謹,negative
房 間 裝 修 陳 舊 下 水 管 堵 塞 晚 上 折 騰 了 2 個 多 小 時 還 是 沒 有 修 好,negative
總 的 來 說 是 不 錯 的 酒 店 但 還 有 一 些 小 細 節 要 注 意 電 腦 寬 帶 接 線 處 的 板 已 壞 早 餐 送 房 後 在 蛋 餅 裏 發 現 鍋 底 灰 經 交 涉 後 店 方 馬 上 來 電 致 歉 這 點 非 常 滿 意 但 希 望 在 下 次 入 住 不 要 再 發 生 此 類 事 件 下 次 去 成 都 還 會 繼 續 入 住 喜 來 登,positive
沒 我 想 像 的 那 麼 好 還 行 吧 我 兒 子 看 着 還 行,negative
幼 兒 園 的 老 師 更 應 該 看 孩 子 大 多 時 間 還 是 在 幼 兒 園 在 幼 兒 園 裏 經 歷 的 一 些 事 可 能 會 影 響 孩 子 的 性 格 甚 至 一 生 如 果 幼 教 都 能 領 悟 蒙 特 梭 利 的 育 兒 法 真 正 讓 孩 子 做 主 真 正 愛 孩 子 對 孩 子 有 極 大 的 耐 心 我 相 信 我 們 的 小 苗 苗 都 能 長 成 參 天 大 樹 的 我 們 明 天 的 棟 樑 會 讓 我 們 中 國 更 加 強 大,positive
現 在 在 用 頂 多 是 一 般 如 果 買 的 話 推 薦 聯 想 那 款,positive
